Test_Date,Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
2019-02-01,42.0,0.007968911981101862,0.011521645715226219,0.017874118969831924,-0.0019362950076281995,0.006403359292288125,0.009534464669915598
2019-02-01,43.0,0.00803886953471753,0.011599968340505423,0.0179621583406364,-0.0018844192712013392,0.006445965363217976,0.009631773706217083
2019-02-01,44.0,0.008105652870539751,0.011674736568440886,0.01804620153367046,-0.0018348957925909595,0.006486637922140789,0.009724667818938713
2019-02-01,45.0,0.008169472266154155,0.011746186008467215,0.018126513634315104,-0.0017875691020067964,0.006525505131786267,0.009813439400522043
2019-02-01,46.0,0.008230520027703225,0.011814532099353348,0.01820333698911051,-0.0017422969337040593,0.00656268418360952,0.00989835587179693
2019-02-01,47.0,0.008288972328647089,0.011879972180989039,0.01827689355177602,-0.0016989488944818415,0.006598282424491738,0.00997966223280244
2019-02-01,48.0,0.008344990835593483,0.011942687324358103,0.018347386952943374,-0.001657405281756407,0.006632398351980326,0.01005758331920664
2019-02-01,49.0,0.008398724147736495,0.012002843950299467,0.018415004329161676,-0.0016175560336886847,0.006665122494693776,0.010132325800779213
2019-02-01,50.0,0.008450309073077167,0.012060595263657683,0.018479917941936094,-0.0015792997957817592,0.006696538192346443,0.010204079953807892
2019-02-08,1.0,-0.0019091463886328989,-0.002061904481774528,-0.0005757477322558054,-0.0032425450450099926,-0.0009291492445182925,-0.0028891435327475052
2019-02-08,2.0,-0.0028130686587192867,-0.002403628257301042,-0.0001567458464440145,-0.005469391470994559,-0.0011403907595513556,-0.004485746557887218
2019-02-08,3.0,-0.0031343982587637787,-0.002260585078209981,0.0005973782910994475,-0.006866174808627005,-0.00109157845231271,-0.005177218065214847
2019-02-08,4.0,-0.0030692707187680553,-0.0018097614066975383,0.0015422650414991966,-0.007680806479035307,-0.00087671904641094,-0.005261822391125171
2019-02-08,5.0,-0.0027559674253236246,-0.0011742876278055434,0.002579912245273402,-0.00809184709592065,-0.0005613170373171507,-0.004950617813330099
2019-02-08,6.0,-0.0022911232263808064,-0.00043877617255291693,0.0036451151235790567,-0.008227361576340669,-0.00019047684272737331,-0.0043917696100342395
2019-02-08,7.0,-0.0017415087826802658,0.00033957112781626267,0.0046957067512783945,-0.008178724316638927,0.0002052273246949828,-0.0036882448900555143
2019-02-08,8.0,-0.0011525782579015738,0.0011229402706618707,0.005705558460340046,-0.008010714976143193,0.0006055095698933421,-0.00291066608569649
2019-02-08,9.0,-0.0005546555611954231,0.0018871277867768164,0.006659580456080396,-0.007768891578471241,0.0009973159286814546,-0.0021066270510723007
2019-02-08,10.0,3.260093957274429e-05,0.0026173952284912513,0.007550168718294147,-0.0074849668391486586,0.0013726297918248353,-0.0013074279126793467
2019-02-08,11.0,0.0005969867074925997,0.0033055071042763255,0.008374694880734905,-0.0071807214657497054,0.001726902608099793,-0.0005329291931145935
2019-02-08,12.0,0.0011314496389239254,0.003947625131671348,0.009133745920652931,-0.00687084664280508,0.0020579372342369394,0.00020496204361091137
2019-02-08,13.0,0.0016324486137725299,0.004542820454605601,0.009829900940967383,-0.006565003713422324,0.002365098109571954,0.0008997991179731058
2019-02-08,14.0,0.0020987893165201645,0.005092030430295555,0.010466891023919492,-0.006269312390879163,0.0026487566929645047,0.0015488219400758242
2019-02-08,15.0,0.0025308042331374167,0.005597334074776172,0.01104903090265882,-0.005987422436383987,0.002909905648657239,0.0021517028176175944
2019-02-08,16.0,0.0029297800147095377,0.0060614549259620345,0.011580842312329946,-0.005721282282910871,0.0031498935618211104,0.002709666467597965
2019-02-08,17.0,0.003297561925411614,0.0064874253641697445,0.012066811481520976,-0.005471687630697747,0.0033702453082826446,0.0032248785425405837
2019-02-08,18.0,0.003636284461983123,0.006878364837883863,0.012511239607625183,-0.005238670683658937,0.003572542921987321,0.0037000260019789248
2019-02-08,19.0,0.00394819135628067,0.007237337823646472,0.012918157009810112,-0.005021774297248772,0.0037583488712709463,0.004138033841290394
2019-02-08,20.0,0.004235518456546519,0.007567267057648122,0.013291280203327024,-0.004820243290233987,0.003929158784910783,0.004541878128182255
2019-02-08,21.0,0.0045004204579945275,0.007870884605574443,0.013633997289914946,-0.004633156373925891,0.004086374384578184,0.004914466531410871
2019-02-08,22.0,0.004744927875788072,0.008150708413513803,0.01394937146919373,-0.004459515717617586,0.004231290065083192,0.005258565686492952
2019-02-08,23.0,0.004970924578139604,0.008409035638194253,0.014240155625328304,-0.0042983064690490964,0.004365088498257456,0.005576760658021752
2019-02-08,24.0,0.00518013903039859,0.008647946678315276,0.01450881318169423,-0.004148535120897049,0.004488842025596596,0.0058714360352005845
2019-02-08,25.0,0.005374144439955566,0.008869315704163772,0.014757541998277572,-0.004009253118366441,0.004603517598689346,0.006144771281221786
2019-02-08,26.0,0.005554364453954742,0.009074824817072101,0.014988299196944485,-0.0038795702890350005,0.004709983734274899,0.006398745173634585
2019-02-08,27.0,0.0057220821059147005,0.009265979914335042,0.01520282557252331,-0.0037586613606939087,0.004809018452090221,0.00663514575973918
2019-02-08,28.0,0.005878450449173388,0.0094441269985468,0.015402668779798373,-0.003645767881451597,0.004901317516385223,0.006855583381961553
2019-02-08,29.0,0.006024503838905048,0.009610468132481006,0.015589204847980792,-0.0035401971701706954,0.004987502548122203,0.007061505129687894
